Timestamp,Day,Participant,Location Coordinates,HRV
2023-01-19 18:33:00,Thursday,3,"52.3148493, 10.558984",20.9104684799
2023-01-19 18:33:20,Thursday,3,"52.3146684, 10.5589437",20.9104684799
2023-01-19 18:35:20,Thursday,3,"52.3147699, 10.5590464",83.8520841798
2023-01-19 18:37:40,Thursday,3,"52.3145656, 10.5590511",
2023-01-19 18:38:20,Thursday,3,"52.314595, 10.5593557",47.8453681727
2023-01-19 18:38:30,Thursday,3,"52.3144595555556, 10.5595765888889",46.8644137924
2023-01-19 18:38:40,Thursday,3,"52.31389687, 10.55962503",46.8644137924
2023-01-19 18:38:50,Thursday,3,"52.3136008125, 10.5598578375",46.8644137924
2023-01-19 18:39:00,Thursday,3,"52.31353494, 10.56087214",
2023-01-19 18:39:10,Thursday,3,"52.31346575, 10.56261601",
2023-01-19 18:39:20,Thursday,3,"52.31344649, 10.5647763",
2023-01-19 18:39:30,Thursday,3,"52.31363788, 10.56655549",
2023-01-19 18:39:40,Thursday,3,"52.3137663888889, 10.5675461555556",
2023-01-19 18:39:50,Thursday,3,"52.31327083, 10.56793539",
2023-01-19 18:40:00,Thursday,3,"52.31224934, 10.56826368",
2023-01-19 18:40:10,Thursday,3,"52.31096567, 10.56860261",
2023-01-19 18:40:20,Thursday,3,"52.30962747, 10.56898105",
2023-01-19 18:40:30,Thursday,3,"52.30829613, 10.56933248",
2023-01-19 18:40:40,Thursday,3,"52.30703775, 10.5695632",
2023-01-19 18:40:50,Thursday,3,"52.30589396, 10.56975015",
2023-01-19 18:41:00,Thursday,3,"52.30498501, 10.56976747",
2023-01-19 18:41:10,Thursday,3,"52.3045241, 10.5697209",
2023-01-19 18:41:10,Thursday,3,"52.303954675, 10.569660625",
2023-01-19 18:41:20,Thursday,3,"52.30301995, 10.56953715",
2023-01-19 18:41:30,Thursday,3,"52.30207039, 10.56913726",
2023-01-19 18:41:40,Thursday,3,"52.3011228, 10.56856266",
2023-01-19 18:41:50,Thursday,3,"52.30021267, 10.56779764",
2023-01-19 18:42:00,Thursday,3,"52.29937774, 10.56669452",
2023-01-19 18:42:10,Thursday,3,"52.2984608, 10.565424425",
2023-01-19 18:42:10,Thursday,3,"52.2989194, 10.5660692",
2023-01-19 18:42:20,Thursday,3,"52.29780129, 10.56429994",
2023-01-19 18:42:30,Thursday,3,"52.29743776, 10.56279331",60.4326796172
2023-01-19 18:42:40,Thursday,3,"52.29725831, 10.56152225",60.4326796172
2023-01-19 18:42:50,Thursday,3,"52.2971018, 10.560976475",60.4326796172
2023-01-19 18:43:00,Thursday,3,"52.2968088, 10.560992",16.3111549321
2023-01-19 18:45:00,Thursday,3,"52.2966777, 10.5609835",193.9859791443
2023-01-19 18:49:20,Thursday,3,"52.2964443, 10.5609941",66.0326933634
2023-01-19 18:49:30,Thursday,3,"52.29596707, 10.56076597",
2023-01-19 18:49:40,Thursday,3,"52.29511405, 10.5604501",
2023-01-19 18:49:50,Thursday,3,"52.29424575, 10.56055105",
2023-01-19 18:50:00,Thursday,3,"52.2934843, 10.56088615",
2023-01-19 18:50:10,Thursday,3,"52.2929474, 10.5606768",
2023-01-19 18:50:20,Thursday,3,"52.2927357, 10.5606314",
2023-01-19 18:50:30,Thursday,3,"52.29249019, 10.56062544",
2023-01-19 18:50:40,Thursday,3,"52.29161894, 10.56062943",
2023-01-19 18:50:50,Thursday,3,"52.29074682, 10.56084462",
2023-01-19 18:51:00,Thursday,3,"52.2901539777778, 10.5612330777778",
2023-01-19 18:51:20,Thursday,3,"52.2898769, 10.5614166",
2023-01-19 18:51:30,Thursday,3,"52.28968679, 10.56158665",
2023-01-19 18:51:40,Thursday,3,"52.28890413, 10.56216518",
2023-01-19 18:51:50,Thursday,3,"52.28801585, 10.56277788",
2023-01-19 18:52:00,Thursday,3,"52.28721683, 10.56334976",
2023-01-19 18:52:10,Thursday,3,"52.28644507, 10.56390501",
2023-01-19 18:52:20,Thursday,3,"52.2860511, 10.5641404",
